id,order_id,order_category,order_time,order_quantity,order_type,order_price,All_or_none,Minimum_fill,Disclosed_Quantity,user_id,order_status,traded_quantity,trade_price_list,trade_quant_list,trade_id
4544,1bdf818e-a6fe-4f93-892d-d42eaf6a75f3,Buy,2020-09-18 10:02:22.429149,107,MR,-1.0,False,0,107,Generator,Waiting,103,99.8 ,103 ,
4545,f868a0e8-0efc-444b-8816-7c1da697f007,Buy,2020-09-18 10:02:23.050504,93,LM,100.0,True,93,93,Generator,Accepted,93,-1 ,93 ,
4546,1b40f5fc-5d07-4137-9336-dfe64ae26880,Sell,2020-09-18 10:02:23.567497,99,LM,99.95,False,99,99,Generator,Accepted,99,-1 ,99 ,
4547,353f891d-27ff-49a1-85d4-d486b3b09ef0,Buy,2020-09-18 10:02:24.092581,100,MR,-1.0,False,0,100,Generator,Waiting,99,99.95 ,99 ,
4548,c80d771c-5711-4e82-aac2-0ac2f37b9682,Sell,2020-09-18 10:02:24.607350,109,LM,99.75,False,109,109,Generator,Accepted,109,100.0 ,109 ,
4549,111e12f5-c6b7-417a-8958-1f38fd14bf42,Buy,2020-09-18 10:02:25.121060,97,LM,99.9,False,97,97,Generator,Waiting,0,,,
4550,c18ee7f6-2082-4518-be30-2e1bcf948c11,Buy,2020-09-18 10:02:25.639017,92,LM,100.05,True,92,92,Generator,Accepted,92,-1 ,92 ,
4551,bd402206-8e9d-4049-aad0-b3e1579a14d2,Sell,2020-09-18 10:02:26.160518,103,LM,99.8,False,103,103,Generator,Accepted,103,-1 ,103 ,
4552,868bb5cd-14af-4c20-869d-40ec61a12b78,Sell,2020-09-18 10:02:26.682679,111,LM,100.2,False,111,111,Generator,Waiting,0,,,
4553,28008cd1-52b8-425a-a9a4-647a9562d26b,Buy,2020-09-18 10:02:27.202832,105,LM,99.95,False,105,105,Generator,Waiting,0,,,
4554,efdcdb75-183a-442d-a54c-76d511c05818,Buy,2020-09-18 10:02:27.735403,96,MR,-1.0,False,0,96,Generator,Waiting,0,,,
4555,b1bc995c-170e-40e2-ac34-b8d93d74f09d,Buy,2020-09-18 10:02:28.253017,99,LM,99.9,False,99,99,Generator,Waiting,0,,,
4556,5c9af253-d7a1-4d7b-bae0-6960fbcdef80,Buy,2020-09-18 10:02:28.787588,112,LM,99.75,False,112,112,Generator,Waiting,0,,,
4557,1e91fbac-94a3-4bb4-8959-ae200d99f445,Buy,2020-09-18 10:02:29.296228,98,LM,100.05,False,98,98,Generator,Accepted,98,99.95 ,98 ,
