id,order_id,order_category,order_time,order_quantity,order_type,order_price,All_or_none,Minimum_fill,Disclosed_Quantity,user_id,order_status,traded_quantity,trade_price_list,trade_quant_list,trade_id
4734,da43cd08-537a-4628-b635-460f6c45a58d,Sell,2020-09-18 10:06:42.137889,99,LM,99.85,False,99,99,Generator,Accepted,99,-1 ,99 ,
4735,695bebea-e1ec-4687-a53e-7ceb0e98b6aa,Sell,2020-09-18 10:06:42.669865,95,LM,100.25,False,95,95,Generator,Accepted,95,-1 ,95 ,
4736,a317c2f5-0f44-4f11-a76a-c6b1fa831bff,Buy,2020-09-18 10:06:43.239468,105,LM,99.85,False,105,105,Generator,Waiting,0,,,
4737,579c7fc7-767b-4ada-8bab-b194f77e0391,Sell,2020-09-18 10:06:43.750750,91,MR,-1.0,False,0,91,Generator,Waiting,0,,,
4738,e41da6e9-a1be-4f68-a0df-9515f83709cc,Sell,2020-09-18 10:06:44.262250,98,MR,-1.0,False,0,98,Generator,Waiting,93,100.1 ,93 ,
4739,288ec107-7028-4728-bed8-a9798a1cc6af,Buy,2020-09-18 10:06:44.778210,100,LM,100.2,False,100,100,Generator,Accepted,100,100.15 ,100 ,
4740,d43a6378-04d5-493a-a6a0-013b8a82baad,Sell,2020-09-18 10:06:45.302178,98,LM,99.95,True,98,98,Generator,Accepted,98,-1 ,98 ,
4741,cf2ff2f3-74ee-4152-a0e3-7535da11dedd,Buy,2020-09-18 10:06:45.817254,97,MR,-1.0,False,0,97,Generator,Waiting,95,100.25 ,95 ,
4742,e77e7cd6-5a06-44d7-8067-3a035d16cefb,Buy,2020-09-18 10:06:46.330471,95,MR,-1.0,False,0,95,Generator,Waiting,94,99.85 ,94 ,
4743,ec5bd6d4-796a-4086-8b40-1af40d6c6aaa,Buy,2020-09-18 10:06:46.844428,104,MR,-1.0,False,0,104,Generator,Waiting,99,99.85 ,99 ,
4744,72ef14e6-34c9-42da-936b-05c04711e1f1,Sell,2020-09-18 10:06:47.366919,97,MR,-1.0,False,0,97,Generator,Waiting,93,100.1 ,93 ,
4745,4f8e2a49-a328-4898-babb-2a4fb2e4a6f9,Buy,2020-09-18 10:06:47.882540,96,LM,100.05,False,96,96,Generator,Accepted,96,-1 ,96 ,
4746,3cf9de5b-132f-488a-afb9-1c969a8fac33,Sell,2020-09-18 10:06:48.402874,90,LM,99.95,False,90,90,Generator,Accepted,90,-1 ,90 ,
4747,5ba383d3-42da-4de7-af99-a4d899f9deca,Buy,2020-09-18 10:06:48.918495,101,MR,-1.0,False,0,101,Generator,Waiting,98,99.95 ,98 ,
4748,170b4bdc-9f4c-4394-9f98-e52042d635a2,Buy,2020-09-18 10:06:49.447265,95,LM,99.85,False,95,95,Generator,Waiting,0,,,
4749,e3539496-6b5b-40f1-8080-e66f3b664514,Buy,2020-09-18 10:06:49.965798,108,LM,99.9,False,108,108,Generator,Waiting,0,,,
4750,6d80b1b1-6618-4e6a-8033-0212545486c8,Sell,2020-09-18 10:06:50.480308,99,MR,-1.0,False,0,99,Generator,Waiting,96,100.05 ,96 ,
4751,7b9734aa-dae3-4c9d-98f2-dda8ff9e6a2b,Sell,2020-09-18 10:06:50.996586,107,LM,100.1,False,107,107,Generator,Waiting,0,,,
4752,2fbe12cb-7e59-40b9-a56e-02a6ecf3c95b,Sell,2020-09-18 10:06:51.519935,95,LM,99.85,True,95,95,Generator,Accepted,95,-1 ,95 ,
4753,0c819411-b29c-4495-80c9-103b457cc04f,Buy,2020-09-18 10:06:52.034946,96,MR,-1.0,False,0,96,Generator,Waiting,95,99.85 ,95 ,
4754,a1b776d5-35e4-493d-a9d7-a4b5ca64c8c8,Buy,2020-09-18 10:06:52.554555,99,LM,100.0,False,99,99,Generator,Accepted,99,-1 ,99 ,
4755,7ea7a57f-0896-4488-8be7-62bec75414e7,Buy,2020-09-18 10:06:53.108074,101,LM,100.0,False,101,101,Generator,Accepted,101,100.0 ,101 ,
4756,0f58b525-09cd-42f7-b9dc-bfc1de38437a,Sell,2020-09-18 10:06:53.637408,100,LM,100.15,False,100,100,Generator,Accepted,100,100.2 ,100 ,
4757,ca40dc24-3f15-412b-9722-a5336bbd80d1,Buy,2020-09-18 10:06:54.171660,100,LM,99.75,False,100,100,Generator,Waiting,0,,,
4758,1c34254b-f8f5-44be-9a30-0b3813ba07df,Buy,2020-09-18 10:06:54.700698,97,LM,99.95,True,97,97,Generator,Accepted,97,-1 ,97 ,
4759,10b841ad-7c1a-4dbc-8a52-9796399eda92,Buy,2020-09-18 10:06:55.219309,95,LM,99.8,False,95,95,Generator,Waiting,0,,,
4760,3f157cc3-917f-4a7b-a31b-4181dc5160b9,Buy,2020-09-18 10:06:55.741911,93,LM,100.1,False,93,93,Generator,Accepted,93,-1 ,93 ,
4761,e422aacc-1b47-406c-98ad-088fb3455897,Buy,2020-09-18 10:06:56.278194,91,LM,100.1,False,91,91,Generator,Accepted,91,-1 ,91 ,
4762,ea932e7f-426a-4e4f-a216-114f58068a31,Buy,2020-09-18 10:06:56.796641,97,LM,99.9,False,97,97,Generator,Waiting,0,,,
4763,15d70a01-dbae-4295-9b6a-49a58900c06f,Buy,2020-09-18 10:06:57.315490,103,LM,100.35,False,103,103,Generator,Accepted,103,-1 ,103 ,
