id,order_id,order_category,order_time,order_quantity,order_type,order_price,All_or_none,Minimum_fill,Disclosed_Quantity,user_id,order_status,traded_quantity,trade_price_list,trade_quant_list,trade_id,user_all,user_MinFill,user_disclosed
1,a3b06419-b5e1-432c-8665-06f44da1b38d,Buy,2020-09-18 13:04:53.135220,100,LM,100.25,True,100,100,Generator,Accepted,100,-1 ,100 ,,False,False,False
2,5cabcff8-293d-4523-b629-d490eb3d03dd,Sell,2020-09-18 13:04:53.666158,96,LM,99.85,True,96,96,Generator,Waiting,0,,,,False,False,False
3,18c39ffa-f738-401d-83c6-92a2cdefb104,Sell,2020-09-18 13:04:54.281397,96,LM,100.1,True,96,96,Generator,Waiting,0,,,,False,False,False
4,f9a275aa-772a-42f5-b72e-17fd6d224dd3,Sell,2020-09-18 13:04:54.805469,94,MR,-1.0,False,0,94,Generator,Waiting,86,99.8 ,86 ,,False,False,False
5,2d2413e9-147e-455f-aea9-e0154f493546,Sell,2020-09-18 13:04:55.319732,101,MR,-1.0,False,0,101,Generator,Waiting,100,100.25 ,100 ,,False,False,False
6,6b4ea037-ca41-4dde-9470-65c8fbbd7200,Buy,2020-09-18 13:04:55.837326,99,LM,100.15,True,99,99,Generator,Accepted,99,-1 ,99 ,,False,False,False
7,21d910ed-0a48-4dd8-a0ca-391e028e413e,Sell,2020-09-18 13:04:56.349996,101,LM,100.1,True,101,101,Generator,Waiting,0,,,,False,False,False
8,8862926f-58a7-4585-8e43-7c559ab4da75,Buy,2020-09-18 13:04:56.915781,103,LM,100.25,True,103,103,Generator,Accepted,103,99.85 ,103 ,,False,False,False
9,753aff94-531d-4838-b47a-c7e880cc4fdc,Buy,2020-09-18 13:04:57.443862,111,LM,99.9,True,111,111,Generator,Waiting,0,,,,False,False,False
10,e6261be4-9dda-4bca-bba2-b4f82c1a36b2,Buy,2020-09-18 13:04:57.968235,97,LM,100.0,True,97,97,Generator,Waiting,0,,,,False,False,False
11,7cf46038-2c70-4d20-affb-b11f504dc2d2,Buy,2020-09-18 13:04:58.502560,86,LM,99.8,True,86,86,Generator,Accepted,86,-1 ,86 ,,False,False,False
12,9c1b8e30-3092-401c-beef-e2ce2d2abf25,Buy,2020-09-18 13:04:59.024440,106,LM,100.1,False,106,106,Generator,Waiting,0,,,,False,False,False
13,c6eb742a-8561-43da-bdb9-ed9d51cf2cf9,Sell,2020-09-18 13:04:59.877484,95,LM,100.2,True,95,95,Generator,Waiting,0,,,,False,False,False
14,f3cecd23-cc5d-4b59-a096-8def84ac80ee,Buy,2020-09-18 13:05:00.438434,99,LM,100.0,True,99,99,Generator,Waiting,0,,,,False,False,False
15,b4ff6f3b-4bd9-4184-8d06-d17d2990c6f3,Sell,2020-09-18 13:05:00.997733,91,LM,99.9,True,91,91,Generator,Waiting,0,,,,False,False,False
16,823bbe9f-df02-4c55-b854-ac1d0a5efacc,Buy,2020-09-18 13:05:01.516362,97,LM,99.85,True,97,97,Generator,Waiting,0,,,,False,False,False
17,73f17311-a854-4234-a5c8-46d34d27a09b,Sell,2020-09-18 13:05:02.033046,95,LM,100.1,True,95,95,Generator,Waiting,0,,,,False,False,False
18,29fecb97-2c67-4744-b7cf-7cc4aabdded8,Sell,2020-09-18 13:05:02.546072,99,MR,-1.0,False,0,99,Generator,Accepted,99,100.15 ,99 ,,False,False,False
19,7394a121-0a0d-485b-a65c-a3bc75004ab6,Buy,2020-09-18 13:05:03.169671,99,LM,99.85,True,99,99,Generator,Waiting,0,,,,False,False,False
20,e8839348-917c-4eb0-a5ff-cce0db208bee,Sell,2020-09-18 13:05:03.689220,95,LM,99.95,True,95,95,Generator,Waiting,0,,,,False,False,False
21,12a1eb80-29d1-45f3-88a8-ac27f61ba2d5,Sell,2020-09-18 13:05:04.230946,94,LM,100.35,False,94,94,Generator,Waiting,0,,,,False,False,False
22,3d911874-b226-47af-ae55-4c90c1df1c52,Buy,2020-09-18 13:05:04.749567,101,LM,100.05,False,101,101,Generator,Waiting,0,,,,False,False,False
